profile,phase,model_name,emotion,layer,head,head_spec,alpha,comparison,metric_name,paired,n_baseline,n_patched,n_effective,mean_baseline,mean_patched,std_baseline,std_patched,mean_diff,cohen_d,ci_lower,ci_upper,effect_size_ci_lower,effect_size_ci_upper,t_statistic,p_value,p_value_bonferroni,p_value_fdr,significant_bonferroni,significant_fdr
baseline,residual,gpt2,gratitude,3,,,-2.0,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,3,,,-2.0,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,3,,,-2.0,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,3,,,-2.0,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714286,0.0,0.011952286093343938,0.0,-0.0014285714285714286,-0.11952286093343935,-0.004285714285714286,0.0,-0.21008679290800508,0.0,-0.9999999999999999,0.32080459351250473,1.0,0.32080459351250473,False,False
baseline,residual,gpt2,gratitude,3,,,-2.0,patched_vs_neutral,sentiment,True,70,70,70,0.004285714285714286,0.0,0.0203997320649802,0.0,-0.004285714285714286,-0.21008679290800508,-0.010749999999999997,0.0,-0.3181413740156071,0.0,-1.7577122172887034,0.08323165719254312,1.0,0.08739324005217028,False,False
baseline,residual,gpt2,gratitude,3,,,-1.0,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,3,,,-1.0,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,3,,,-1.0,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,3,,,-1.0,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714286,0.0,0.011952286093343938,0.0,-0.0014285714285714286,-0.11952286093343935,-0.004285714285714286,0.0,-0.21008679290800508,0.0,-0.9999999999999999,0.32080459351250473,1.0,0.32080459351250473,False,False
baseline,residual,gpt2,gratitude,3,,,-1.0,patched_vs_neutral,sentiment,True,70,70,70,0.004285714285714286,0.0,0.0203997320649802,0.0,-0.004285714285714286,-0.21008679290800508,-0.010749999999999997,0.0,-0.3181413740156071,0.0,-1.7577122172887034,0.08323165719254312,1.0,0.08739324005217028,False,False
baseline,residual,gpt2,gratitude,3,,,-0.5,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,3,,,-0.5,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,3,,,-0.5,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,3,,,-0.5,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714286,0.0,0.011952286093343938,0.0,-0.0014285714285714286,-0.11952286093343935,-0.004285714285714286,0.0,-0.21008679290800505,0.0,-0.9999999999999999,0.32080459351250473,1.0,0.32080459351250473,False,False
baseline,residual,gpt2,gratitude,3,,,-0.5,patched_vs_neutral,sentiment,True,70,70,70,0.004285714285714286,0.0,0.0203997320649802,0.0,-0.004285714285714286,-0.21008679290800508,-0.009321428571428569,0.0,-0.33094381626464864,0.0,-1.7577122172887034,0.08323165719254312,1.0,0.08739324005217028,False,False
baseline,residual,gpt2,gratitude,3,,,0.0,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,3,,,0.0,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,3,,,0.0,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,3,,,0.0,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714286,0.0,0.011952286093343938,0.0,-0.0014285714285714286,-0.11952286093343935,-0.004285714285714286,0.0,-0.21008679290800505,0.0,-0.9999999999999999,0.32080459351250473,1.0,0.32080459351250473,False,False
baseline,residual,gpt2,gratitude,3,,,0.0,patched_vs_neutral,sentiment,True,70,70,70,0.004285714285714286,0.0,0.0203997320649802,0.0,-0.004285714285714286,-0.21008679290800508,-0.009321428571428569,0.0,-0.33094381626464864,0.0,-1.7577122172887034,0.08323165719254312,1.0,0.08739324005217028,False,False
baseline,residual,gpt2,gratitude,3,,,0.5,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,3,,,0.5,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,3,,,0.5,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,3,,,0.5,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714286,0.0,0.011952286093343938,0.0,-0.0014285714285714286,-0.11952286093343935,-0.004285714285714286,0.0,-0.21008679290800508,0.0,-0.9999999999999999,0.32080459351250473,1.0,0.32080459351250473,False,False
baseline,residual,gpt2,gratitude,3,,,0.5,patched_vs_neutral,sentiment,True,70,70,70,0.004285714285714286,0.0,0.0203997320649802,0.0,-0.004285714285714286,-0.21008679290800508,-0.01,0.0,-0.3039913062666666,0.0,-1.7577122172887034,0.08323165719254312,1.0,0.08739324005217028,False,False
baseline,residual,gpt2,gratitude,3,,,1.0,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,3,,,1.0,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,3,,,1.0,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,3,,,1.0,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714286,0.0,0.011952286093343938,0.0,-0.0014285714285714286,-0.11952286093343935,-0.004285714285714286,0.0,-0.21008679290800508,0.0,-0.9999999999999999,0.32080459351250473,1.0,0.32080459351250473,False,False
baseline,residual,gpt2,gratitude,3,,,1.0,patched_vs_neutral,sentiment,True,70,70,70,0.004285714285714286,0.0,0.0203997320649802,0.0,-0.004285714285714286,-0.21008679290800508,-0.01,0.0,-0.3039913062666666,0.0,-1.7577122172887034,0.08323165719254312,1.0,0.08739324005217028,False,False
baseline,residual,gpt2,gratitude,3,,,2.0,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,3,,,2.0,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,3,,,2.0,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,3,,,2.0,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714286,0.0,0.011952286093343938,0.0,-0.0014285714285714286,-0.11952286093343935,-0.004285714285714286,0.0,-0.21008679290800508,0.0,-0.9999999999999999,0.32080459351250473,1.0,0.32080459351250473,False,False
baseline,residual,gpt2,gratitude,3,,,2.0,patched_vs_neutral,sentiment,True,70,70,70,0.004285714285714286,0.0,0.0203997320649802,0.0,-0.004285714285714286,-0.21008679290800508,-0.008571428571428572,0.0,-0.3039913062666666,0.0,-1.7577122172887034,0.08323165719254312,1.0,0.08739324005217028,False,False
baseline,residual,gpt2,gratitude,5,,,-2.0,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,5,,,-2.0,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,5,,,-2.0,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,5,,,-2.0,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714286,0.0,0.011952286093343938,0.0,-0.0014285714285714286,-0.11952286093343935,-0.004285714285714286,0.0,-0.21008679290800508,0.0,-0.9999999999999999,0.32080459351250473,1.0,0.32080459351250473,False,False
baseline,residual,gpt2,gratitude,5,,,-2.0,patched_vs_neutral,sentiment,True,70,70,70,0.004285714285714286,0.0,0.0203997320649802,0.0,-0.004285714285714286,-0.21008679290800508,-0.01,0.0,-0.33094381626464864,0.0,-1.7577122172887034,0.08323165719254312,1.0,0.08739324005217028,False,False
baseline,residual,gpt2,gratitude,5,,,-1.0,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,5,,,-1.0,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,5,,,-1.0,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,5,,,-1.0,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714286,0.0,0.011952286093343938,0.0,-0.0014285714285714286,-0.11952286093343935,-0.004285714285714286,0.0,-0.21008679290800508,0.0,-0.9999999999999999,0.32080459351250473,1.0,0.32080459351250473,False,False
baseline,residual,gpt2,gratitude,5,,,-1.0,patched_vs_neutral,sentiment,True,70,70,70,0.004285714285714286,0.0,0.0203997320649802,0.0,-0.004285714285714286,-0.21008679290800508,-0.01,0.0,-0.33094381626464864,0.0,-1.7577122172887034,0.08323165719254312,1.0,0.08739324005217028,False,False
baseline,residual,gpt2,gratitude,5,,,-0.5,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,5,,,-0.5,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,5,,,-0.5,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,5,,,-0.5,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714286,0.0,0.011952286093343938,0.0,-0.0014285714285714286,-0.11952286093343935,-0.004285714285714286,0.0,-0.2281107851206811,0.0,-0.9999999999999999,0.32080459351250473,1.0,0.32080459351250473,False,False
baseline,residual,gpt2,gratitude,5,,,-0.5,patched_vs_neutral,sentiment,True,70,70,70,0.004285714285714286,0.0,0.0203997320649802,0.0,-0.004285714285714286,-0.21008679290800508,-0.008571428571428572,0.0,-0.33094381626464864,0.0,-1.7577122172887034,0.08323165719254312,1.0,0.08739324005217028,False,False
baseline,residual,gpt2,gratitude,5,,,0.0,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,5,,,0.0,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,5,,,0.0,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,5,,,0.0,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714286,0.0,0.011952286093343938,0.0,-0.0014285714285714286,-0.11952286093343935,-0.004285714285714286,0.0,-0.21008679290800508,0.0,-0.9999999999999999,0.32080459351250473,1.0,0.32080459351250473,False,False
baseline,residual,gpt2,gratitude,5,,,0.0,patched_vs_neutral,sentiment,True,70,70,70,0.004285714285714286,0.0,0.0203997320649802,0.0,-0.004285714285714286,-0.21008679290800508,-0.009321428571428569,0.0,-0.33094381626464864,0.0,-1.7577122172887034,0.08323165719254312,1.0,0.08739324005217028,False,False
baseline,residual,gpt2,gratitude,5,,,0.5,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,5,,,0.5,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,5,,,0.5,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,5,,,0.5,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714286,0.0,0.011952286093343938,0.0,-0.0014285714285714286,-0.11952286093343935,-0.004285714285714286,0.0,-0.21008679290800505,0.0,-0.9999999999999999,0.32080459351250473,1.0,0.32080459351250473,False,False
baseline,residual,gpt2,gratitude,5,,,0.5,patched_vs_neutral,sentiment,True,70,70,70,0.004285714285714286,0.0,0.0203997320649802,0.0,-0.004285714285714286,-0.21008679290800508,-0.01,0.0,-0.3039913062666666,-0.05677335894338641,-1.7577122172887034,0.08323165719254312,1.0,0.08739324005217028,False,False
baseline,residual,gpt2,gratitude,5,,,1.0,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,5,,,1.0,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,5,,,1.0,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,5,,,1.0,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714286,0.0,0.011952286093343938,0.0,-0.0014285714285714286,-0.11952286093343935,-0.004285714285714286,0.0,-0.21008679290800508,0.0,-0.9999999999999999,0.32080459351250473,1.0,0.32080459351250473,False,False
baseline,residual,gpt2,gratitude,5,,,1.0,patched_vs_neutral,sentiment,True,70,70,70,0.004285714285714286,0.0,0.0203997320649802,0.0,-0.004285714285714286,-0.21008679290800508,-0.008571428571428572,0.0,-0.3039913062666666,0.0,-1.7577122172887034,0.08323165719254312,1.0,0.08739324005217028,False,False
baseline,residual,gpt2,gratitude,5,,,2.0,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,5,,,2.0,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,5,,,2.0,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,5,,,2.0,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714286,0.0,0.011952286093343938,0.0,-0.0014285714285714286,-0.11952286093343935,-0.004285714285714286,0.0,-0.21008679290800508,0.0,-0.9999999999999999,0.32080459351250473,1.0,0.32080459351250473,False,False
baseline,residual,gpt2,gratitude,5,,,2.0,patched_vs_neutral,sentiment,True,70,70,70,0.004285714285714286,0.0,0.0203997320649802,0.0,-0.004285714285714286,-0.21008679290800508,-0.01,0.0,-0.33094381626464864,0.0,-1.7577122172887034,0.08323165719254312,1.0,0.08739324005217028,False,False
baseline,residual,gpt2,gratitude,7,,,-2.0,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,7,,,-2.0,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,7,,,-2.0,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,7,,,-2.0,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714286,0.0,0.011952286093343938,0.0,-0.0014285714285714286,-0.11952286093343935,-0.004285714285714286,0.0,-0.21008679290800508,0.0,-0.9999999999999999,0.32080459351250473,1.0,0.32080459351250473,False,False
baseline,residual,gpt2,gratitude,7,,,-2.0,patched_vs_neutral,sentiment,True,70,70,70,0.004285714285714286,0.0,0.0203997320649802,0.0,-0.004285714285714286,-0.21008679290800508,-0.01,0.0,-0.3039913062666666,0.0,-1.7577122172887034,0.08323165719254312,1.0,0.08739324005217028,False,False
baseline,residual,gpt2,gratitude,7,,,-1.0,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,7,,,-1.0,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,7,,,-1.0,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,7,,,-1.0,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714286,0.0,0.011952286093343938,0.0,-0.0014285714285714286,-0.11952286093343935,-0.004285714285714286,0.0,-0.21008679290800508,0.0,-0.9999999999999999,0.32080459351250473,1.0,0.32080459351250473,False,False
baseline,residual,gpt2,gratitude,7,,,-1.0,patched_vs_neutral,sentiment,True,70,70,70,0.004285714285714286,0.0,0.0203997320649802,0.0,-0.004285714285714286,-0.21008679290800508,-0.01,0.0,-0.3039913062666666,0.0,-1.7577122172887034,0.08323165719254312,1.0,0.08739324005217028,False,False
baseline,residual,gpt2,gratitude,7,,,-0.5,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,7,,,-0.5,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,7,,,-0.5,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,7,,,-0.5,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714286,0.0,0.011952286093343938,0.0,-0.0014285714285714286,-0.11952286093343935,-0.004285714285714286,0.0,-0.21008679290800508,0.0,-0.9999999999999999,0.32080459351250473,1.0,0.32080459351250473,False,False
baseline,residual,gpt2,gratitude,7,,,-0.5,patched_vs_neutral,sentiment,True,70,70,70,0.004285714285714286,0.0,0.0203997320649802,0.0,-0.004285714285714286,-0.21008679290800508,-0.01,0.0,-0.33094381626464864,0.0,-1.7577122172887034,0.08323165719254312,1.0,0.08739324005217028,False,False
baseline,residual,gpt2,gratitude,7,,,0.0,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,7,,,0.0,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,7,,,0.0,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,7,,,0.0,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714286,0.0,0.011952286093343938,0.0,-0.0014285714285714286,-0.11952286093343935,-0.004285714285714286,0.0,-0.21008679290800508,0.0,-0.9999999999999999,0.32080459351250473,1.0,0.32080459351250473,False,False
baseline,residual,gpt2,gratitude,7,,,0.0,patched_vs_neutral,sentiment,True,70,70,70,0.004285714285714286,0.0,0.0203997320649802,0.0,-0.004285714285714286,-0.21008679290800508,-0.01,0.0,-0.33094381626464864,0.0,-1.7577122172887034,0.08323165719254312,1.0,0.08739324005217028,False,False
baseline,residual,gpt2,gratitude,7,,,0.5,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
baseline,residual,gpt2,gratitude,7,,,0.5,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False
