profile,model_a,model_b,layer,emotion,k,overlap,mean_principal_angle
baseline,gpt2,EleutherAI-pythia-160m,3,gratitude,2,0.0043349540792405605,1.498166561126709
baseline,gpt2,EleutherAI-pythia-160m,3,gratitude,5,0.0018525724299252033,1.4926471710205078
baseline,gpt2,EleutherAI-pythia-160m,3,gratitude,10,0.001338895526714623,1.4776655435562134
baseline,gpt2,EleutherAI-pythia-160m,3,gratitude,20,0.0012838110560551286,1.4371587038040161
baseline,gpt2,EleutherAI-pythia-160m,3,anger,2,0.0033088282216340303,1.4985289573669434
baseline,gpt2,EleutherAI-pythia-160m,3,anger,5,0.0022987814154475927,1.4844125509262085
baseline,gpt2,EleutherAI-pythia-160m,3,anger,10,0.001500920858234167,1.4716955423355103
baseline,gpt2,EleutherAI-pythia-160m,3,anger,20,0.001394318649545312,1.4263675212860107
baseline,gpt2,EleutherAI-pythia-160m,3,apology,2,0.0054098693653941154,1.4954261779785156
baseline,gpt2,EleutherAI-pythia-160m,3,apology,5,0.0024768884759396315,1.4843112230300903
baseline,gpt2,EleutherAI-pythia-160m,3,apology,10,0.0013674438232555985,1.4718575477600098
baseline,gpt2,EleutherAI-pythia-160m,3,apology,20,0.001341004972346127,1.4326159954071045
baseline,gpt2,EleutherAI-pythia-160m,5,gratitude,2,0.003274062182754278,1.4912723302841187
baseline,gpt2,EleutherAI-pythia-160m,5,gratitude,5,0.0017511917976662517,1.488174557685852
baseline,gpt2,EleutherAI-pythia-160m,5,gratitude,10,0.00139278220012784,1.46564781665802
baseline,gpt2,EleutherAI-pythia-160m,5,gratitude,20,0.0013366383500397205,1.431045651435852
baseline,gpt2,EleutherAI-pythia-160m,5,anger,2,0.002267371630296111,1.5209145545959473
baseline,gpt2,EleutherAI-pythia-160m,5,anger,5,0.0011527452152222395,1.5077779293060303
baseline,gpt2,EleutherAI-pythia-160m,5,anger,10,0.0013288138434290886,1.4695112705230713
baseline,gpt2,EleutherAI-pythia-160m,5,anger,20,0.001310838619247079,1.4328479766845703
baseline,gpt2,EleutherAI-pythia-160m,5,apology,2,0.002769657177850604,1.5131511688232422
baseline,gpt2,EleutherAI-pythia-160m,5,apology,5,0.0017566276947036386,1.492047667503357
baseline,gpt2,EleutherAI-pythia-160m,5,apology,10,0.001544176833704114,1.4633734226226807
baseline,gpt2,EleutherAI-pythia-160m,5,apology,20,0.0013379285810515285,1.433234453201294
baseline,gpt2,EleutherAI-pythia-160m,7,gratitude,2,0.0026244930922985077,1.5155209302902222
baseline,gpt2,EleutherAI-pythia-160m,7,gratitude,5,0.001629204023629427,1.4974266290664673
baseline,gpt2,EleutherAI-pythia-160m,7,gratitude,10,0.0011662632459774613,1.4785276651382446
baseline,gpt2,EleutherAI-pythia-160m,7,gratitude,20,0.0010581170208752155,1.4455459117889404
