layer,mean_overlap_before,mean_overlap_after,delta
0,0.00021484066868929103,0.12462232753638963,0.12440748686770034
1,0.0001801515727051531,0.5048330973763733,0.5046529458036682
2,0.00023508339785847007,0.46537299063472704,0.46513790723686854
3,0.00023084548243059016,0.43278608345122227,0.4325552379687917
4,0.00020736106829969975,0.4515596078095026,0.4513522467412029
5,0.00022172048333533973,0.4028193043487361,0.40259758386540073
6,0.0002093244598575536,0.40833409770357837,0.4081247732437208
7,0.00024848805199576706,0.4188806913716127,0.4186322033196169
8,0.00023783717114065435,0.45471823912589543,0.45448040195475475
9,0.0001928286757700281,0.5739078895834755,0.5737150609077055
10,0.00019570046464197107,0.5783860005938123,0.5781903001291703
11,0.00021046687592037025,0.7135025532597966,0.7132920863838762
