layer,mean_overlap_before,mean_overlap_after,delta
0,0.00021712540175408018,0.003449357523158824,0.0032322321214047437
1,0.0002169138870720186,0.07735776030337586,0.07714084641630385
2,0.0002056928215046519,0.07416229584320073,0.07395660302169609
3,0.00021641735373617433,0.08596419389634143,0.08574777654260525
4,0.0002225653480228213,0.1053316016981507,0.10510903635012787
5,0.000205549084743203,0.067166699810921,0.0669611507261778
6,0.0002114740823376916,0.037793972685706397,0.03758249860336871
7,0.0002448296694790314,0.030776828743067874,0.030531999073588844
8,0.00026323424396726506,0.02420660331334766,0.023943369069380396
9,0.00023128146630959048,0.02914543830595243,0.028914156839642838
10,0.0002510149401967128,0.04180423592852154,0.04155322098832483
11,0.00022919786832149654,0.08109901545422554,0.08086981758590404
