profile,phase,model_name,emotion,layer,head,head_spec,alpha,comparison,metric_name,paired,n_baseline,n_patched,n_effective,mean_baseline,mean_patched,std_baseline,std_patched,mean_diff,cohen_d,ci_lower,ci_upper,effect_size_ci_lower,effect_size_ci_upper,t_statistic,p_value,p_value_bonferroni,p_value_fdr,significant_bonferroni,significant_fdr,power
baseline,residual,gpt2,gratitude,3,,,-2.0,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,3,,,-2.0,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,3,,,-2.0,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,3,,,-2.0,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714,0.0,0.0119522860933439,0.0,-0.0014285714285714,-0.1195228609334393,-0.0042857142857142,0.0,-0.210086792908005,0.0,-1.0,0.3208045935125047,1.0,0.3208045935125047,False,False,0.16667758792858856
baseline,residual,gpt2,gratitude,3,,,-2.0,patched_vs_neutral,sentiment,True,70,70,70,0.0042857142857142,0.0,0.0203997320649802,0.0,-0.0042857142857142,-0.210086792908005,-0.0085714285714285,0.0,-0.3039913062666666,0.0,-1.7577122172887034,0.0832316571925431,1.0,0.0873932400521702,False,False,0.41043130323669796
baseline,residual,gpt2,gratitude,3,,,-1.0,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,3,,,-1.0,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,3,,,-1.0,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,3,,,-1.0,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714,0.0,0.0119522860933439,0.0,-0.0014285714285714,-0.1195228609334393,-0.0042857142857142,0.0,-0.210086792908005,0.0,-1.0,0.3208045935125047,1.0,0.3208045935125047,False,False,0.16667758792858856
baseline,residual,gpt2,gratitude,3,,,-1.0,patched_vs_neutral,sentiment,True,70,70,70,0.0042857142857142,0.0,0.0203997320649802,0.0,-0.0042857142857142,-0.210086792908005,-0.0085714285714285,0.0,-0.3039913062666666,0.0,-1.7577122172887034,0.0832316571925431,1.0,0.0873932400521702,False,False,0.41043130323669796
baseline,residual,gpt2,gratitude,3,,,-0.5,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,3,,,-0.5,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,3,,,-0.5,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,3,,,-0.5,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714,0.0,0.0119522860933439,0.0,-0.0014285714285714,-0.1195228609334393,-0.0042857142857142,0.0,-0.210086792908005,0.0,-1.0,0.3208045935125047,1.0,0.3208045935125047,False,False,0.16667758792858856
baseline,residual,gpt2,gratitude,3,,,-0.5,patched_vs_neutral,sentiment,True,70,70,70,0.0042857142857142,0.0,0.0203997320649802,0.0,-0.0042857142857142,-0.210086792908005,-0.01,0.0,-0.3309438162646486,0.0,-1.7577122172887034,0.0832316571925431,1.0,0.0873932400521702,False,False,0.41043130323669796
baseline,residual,gpt2,gratitude,3,,,0.0,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,3,,,0.0,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,3,,,0.0,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,3,,,0.0,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714,0.0,0.0119522860933439,0.0,-0.0014285714285714,-0.1195228609334393,-0.0057142857142857,0.0,-0.210086792908005,0.0,-1.0,0.3208045935125047,1.0,0.3208045935125047,False,False,0.16667758792858856
baseline,residual,gpt2,gratitude,3,,,0.0,patched_vs_neutral,sentiment,True,70,70,70,0.0042857142857142,0.0,0.0203997320649802,0.0,-0.0042857142857142,-0.210086792908005,-0.0093214285714285,0.0,-0.3309438162646486,0.0,-1.7577122172887034,0.0832316571925431,1.0,0.0873932400521702,False,False,0.41043130323669796
baseline,residual,gpt2,gratitude,3,,,0.5,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,3,,,0.5,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,3,,,0.5,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,3,,,0.5,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714,0.0,0.0119522860933439,0.0,-0.0014285714285714,-0.1195228609334393,-0.0042857142857142,0.0,-0.210086792908005,0.0,-1.0,0.3208045935125047,1.0,0.3208045935125047,False,False,0.16667758792858856
baseline,residual,gpt2,gratitude,3,,,0.5,patched_vs_neutral,sentiment,True,70,70,70,0.0042857142857142,0.0,0.0203997320649802,0.0,-0.0042857142857142,-0.210086792908005,-0.01,0.0,-0.3309438162646486,0.0,-1.7577122172887034,0.0832316571925431,1.0,0.0873932400521702,False,False,0.41043130323669796
baseline,residual,gpt2,gratitude,3,,,1.0,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,3,,,1.0,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,3,,,1.0,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,3,,,1.0,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714,0.0,0.0119522860933439,0.0,-0.0014285714285714,-0.1195228609334393,-0.0042857142857142,0.0,-0.210086792908005,0.0,-1.0,0.3208045935125047,1.0,0.3208045935125047,False,False,0.16667758792858856
baseline,residual,gpt2,gratitude,3,,,1.0,patched_vs_neutral,sentiment,True,70,70,70,0.0042857142857142,0.0,0.0203997320649802,0.0,-0.0042857142857142,-0.210086792908005,-0.01,0.0,-0.3309438162646486,0.0,-1.7577122172887034,0.0832316571925431,1.0,0.0873932400521702,False,False,0.41043130323669796
baseline,residual,gpt2,gratitude,3,,,2.0,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,3,,,2.0,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,3,,,2.0,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,3,,,2.0,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714,0.0,0.0119522860933439,0.0,-0.0014285714285714,-0.1195228609334393,-0.0042857142857142,0.0,-0.210086792908005,0.0,-1.0,0.3208045935125047,1.0,0.3208045935125047,False,False,0.16667758792858856
baseline,residual,gpt2,gratitude,3,,,2.0,patched_vs_neutral,sentiment,True,70,70,70,0.0042857142857142,0.0,0.0203997320649802,0.0,-0.0042857142857142,-0.210086792908005,-0.01,0.0,-0.3309438162646486,0.0,-1.7577122172887034,0.0832316571925431,1.0,0.0873932400521702,False,False,0.41043130323669796
baseline,residual,gpt2,gratitude,5,,,-2.0,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,5,,,-2.0,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,5,,,-2.0,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,5,,,-2.0,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714,0.0,0.0119522860933439,0.0,-0.0014285714285714,-0.1195228609334393,-0.0042857142857142,0.0,-0.210086792908005,0.0,-1.0,0.3208045935125047,1.0,0.3208045935125047,False,False,0.16667758792858856
baseline,residual,gpt2,gratitude,5,,,-2.0,patched_vs_neutral,sentiment,True,70,70,70,0.0042857142857142,0.0,0.0203997320649802,0.0,-0.0042857142857142,-0.210086792908005,-0.01,0.0,-0.3309438162646486,0.0,-1.7577122172887034,0.0832316571925431,1.0,0.0873932400521702,False,False,0.41043130323669796
baseline,residual,gpt2,gratitude,5,,,-1.0,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,5,,,-1.0,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,5,,,-1.0,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,5,,,-1.0,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714,0.0,0.0119522860933439,0.0,-0.0014285714285714,-0.1195228609334393,-0.0042857142857142,0.0,-0.210086792908005,0.0,-1.0,0.3208045935125047,1.0,0.3208045935125047,False,False,0.16667758792858856
baseline,residual,gpt2,gratitude,5,,,-1.0,patched_vs_neutral,sentiment,True,70,70,70,0.0042857142857142,0.0,0.0203997320649802,0.0,-0.0042857142857142,-0.210086792908005,-0.01,0.0,-0.3309438162646486,0.0,-1.7577122172887034,0.0832316571925431,1.0,0.0873932400521702,False,False,0.41043130323669796
baseline,residual,gpt2,gratitude,5,,,-0.5,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,5,,,-0.5,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,5,,,-0.5,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,5,,,-0.5,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714,0.0,0.0119522860933439,0.0,-0.0014285714285714,-0.1195228609334393,-0.0042857142857142,0.0,-0.210086792908005,0.0,-1.0,0.3208045935125047,1.0,0.3208045935125047,False,False,0.16667758792858856
baseline,residual,gpt2,gratitude,5,,,-0.5,patched_vs_neutral,sentiment,True,70,70,70,0.0042857142857142,0.0,0.0203997320649802,0.0,-0.0042857142857142,-0.210086792908005,-0.0085714285714285,0.0,-0.3309438162646486,0.0,-1.7577122172887034,0.0832316571925431,1.0,0.0873932400521702,False,False,0.41043130323669796
baseline,residual,gpt2,gratitude,5,,,0.0,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,5,,,0.0,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,5,,,0.0,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,5,,,0.0,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714,0.0,0.0119522860933439,0.0,-0.0014285714285714,-0.1195228609334393,-0.0042857142857142,0.0,-0.210086792908005,0.0,-1.0,0.3208045935125047,1.0,0.3208045935125047,False,False,0.16667758792858856
baseline,residual,gpt2,gratitude,5,,,0.0,patched_vs_neutral,sentiment,True,70,70,70,0.0042857142857142,0.0,0.0203997320649802,0.0,-0.0042857142857142,-0.210086792908005,-0.01,0.0,-0.3309438162646486,0.0,-1.7577122172887034,0.0832316571925431,1.0,0.0873932400521702,False,False,0.41043130323669796
baseline,residual,gpt2,gratitude,5,,,0.5,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,5,,,0.5,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,5,,,0.5,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,5,,,0.5,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714,0.0,0.0119522860933439,0.0,-0.0014285714285714,-0.1195228609334393,-0.0042857142857142,0.0,-0.2444182066464356,0.0,-1.0,0.3208045935125047,1.0,0.3208045935125047,False,False,0.16667758792858856
baseline,residual,gpt2,gratitude,5,,,0.5,patched_vs_neutral,sentiment,True,70,70,70,0.0042857142857142,0.0,0.0203997320649802,0.0,-0.0042857142857142,-0.210086792908005,-0.0085714285714285,0.0,-0.3309438162646486,0.0,-1.7577122172887034,0.0832316571925431,1.0,0.0873932400521702,False,False,0.41043130323669796
baseline,residual,gpt2,gratitude,5,,,1.0,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,5,,,1.0,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,5,,,1.0,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,5,,,1.0,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714,0.0,0.0119522860933439,0.0,-0.0014285714285714,-0.1195228609334393,-0.0042857142857142,0.0,-0.210086792908005,0.0,-1.0,0.3208045935125047,1.0,0.3208045935125047,False,False,0.16667758792858856
baseline,residual,gpt2,gratitude,5,,,1.0,patched_vs_neutral,sentiment,True,70,70,70,0.0042857142857142,0.0,0.0203997320649802,0.0,-0.0042857142857142,-0.210086792908005,-0.0085714285714285,0.0,-0.3309438162646486,0.0,-1.7577122172887034,0.0832316571925431,1.0,0.0873932400521702,False,False,0.41043130323669796
baseline,residual,gpt2,gratitude,5,,,2.0,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,5,,,2.0,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,5,,,2.0,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,5,,,2.0,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714,0.0,0.0119522860933439,0.0,-0.0014285714285714,-0.1195228609334393,-0.0042857142857142,0.0,-0.2281107851206811,0.0,-1.0,0.3208045935125047,1.0,0.3208045935125047,False,False,0.16667758792858856
baseline,residual,gpt2,gratitude,5,,,2.0,patched_vs_neutral,sentiment,True,70,70,70,0.0042857142857142,0.0,0.0203997320649802,0.0,-0.0042857142857142,-0.210086792908005,-0.01,0.0,-0.3309438162646486,0.0,-1.7577122172887034,0.0832316571925431,1.0,0.0873932400521702,False,False,0.41043130323669796
baseline,residual,gpt2,gratitude,7,,,-2.0,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,7,,,-2.0,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,7,,,-2.0,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,7,,,-2.0,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714,0.0,0.0119522860933439,0.0,-0.0014285714285714,-0.1195228609334393,-0.0042857142857142,0.0,-0.210086792908005,0.0,-1.0,0.3208045935125047,1.0,0.3208045935125047,False,False,0.16667758792858856
baseline,residual,gpt2,gratitude,7,,,-2.0,patched_vs_neutral,sentiment,True,70,70,70,0.0042857142857142,0.0,0.0203997320649802,0.0,-0.0042857142857142,-0.210086792908005,-0.01,0.0,-0.3309438162646486,0.0,-1.7577122172887034,0.0832316571925431,1.0,0.0873932400521702,False,False,0.41043130323669796
baseline,residual,gpt2,gratitude,7,,,-1.0,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,7,,,-1.0,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,7,,,-1.0,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,7,,,-1.0,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714,0.0,0.0119522860933439,0.0,-0.0014285714285714,-0.1195228609334393,-0.0042857142857142,0.0,-0.210086792908005,0.0,-1.0,0.3208045935125047,1.0,0.3208045935125047,False,False,0.16667758792858856
baseline,residual,gpt2,gratitude,7,,,-1.0,patched_vs_neutral,sentiment,True,70,70,70,0.0042857142857142,0.0,0.0203997320649802,0.0,-0.0042857142857142,-0.210086792908005,-0.01,0.0,-0.3309438162646486,0.0,-1.7577122172887034,0.0832316571925431,1.0,0.0873932400521702,False,False,0.41043130323669796
baseline,residual,gpt2,gratitude,7,,,-0.5,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,7,,,-0.5,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,7,,,-0.5,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,7,,,-0.5,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714,0.0,0.0119522860933439,0.0,-0.0014285714285714,-0.1195228609334393,-0.0042857142857142,0.0,-0.210086792908005,0.0,-1.0,0.3208045935125047,1.0,0.3208045935125047,False,False,0.16667758792858856
baseline,residual,gpt2,gratitude,7,,,-0.5,patched_vs_neutral,sentiment,True,70,70,70,0.0042857142857142,0.0,0.0203997320649802,0.0,-0.0042857142857142,-0.210086792908005,-0.01,0.0,-0.3309438162646486,0.0,-1.7577122172887034,0.0832316571925431,1.0,0.0873932400521702,False,False,0.41043130323669796
baseline,residual,gpt2,gratitude,7,,,0.0,patched_vs_neutral,emotion_keywords.anger,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,7,,,0.0,patched_vs_neutral,emotion_keywords.apology,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,7,,,0.0,patched_vs_neutral,emotion_keywords.gratitude,True,70,70,70,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,
baseline,residual,gpt2,gratitude,7,,,0.0,patched_vs_neutral,politeness,True,70,70,70,0.0014285714285714,0.0,0.0119522860933439,0.0,-0.0014285714285714,-0.1195228609334393,-0.0042857142857142,0.0,-0.210086792908005,0.0,-1.0,0.3208045935125047,1.0,0.3208045935125047,False,False,0.16667758792858856
baseline,residual,gpt2,gratitude,7,,,0.0,patched_vs_neutral,sentiment,True,70,70,70,0.0042857142857142,0.0,0.0203997320649802,0.0,-0.0042857142857142,-0.210086792908005,-0.01,0.0,-0.3181413740156071,0.0,-1.7577122172887034,0.0832316571925431,1.0,0.0873932400521702,False,False,0.41043130323669796
