profile,model_a,model_b,emotion,k,n_layers,mean_overlap,std_overlap,ci_lower,ci_upper
extended,gpt2,EleutherAI-pythia-160m,anger,2,5,0.002779442211613059,0.0007408394853825516,0.0022369096986949444,0.003323842026293278
extended,gpt2,EleutherAI-pythia-160m,anger,5,5,0.0015582747058942915,0.000518409054971132,0.0012628027703613042,0.002040677168406546
extended,gpt2,EleutherAI-pythia-160m,anger,10,5,0.0012734855525195598,0.00019550592075021097,0.0011344817001372575,0.001439428644371219
extended,gpt2,EleutherAI-pythia-160m,anger,20,5,0.0013222634326666594,0.0001078451792049606,0.0012474311282858253,0.001407492789439857
extended,gpt2,EleutherAI-pythia-160m,apology,2,5,0.0032556322403252125,0.0019183740686430925,0.002151270769536495,0.005011835275217891
extended,gpt2,EleutherAI-pythia-160m,apology,5,5,0.001924380799755454,0.0004153165062785058,0.0016514492209535093,0.002305815531872213
extended,gpt2,EleutherAI-pythia-160m,apology,10,5,0.001373434136621654,0.00017010157156594597,0.0012513348367065192,0.001495533436536789
extended,gpt2,EleutherAI-pythia-160m,apology,20,5,0.0013231829972937704,4.574795907781064e-05,0.001287604682147503,0.0013587613124400378
extended,gpt2,EleutherAI-pythia-160m,gratitude,2,5,0.002529974072240293,0.0010882904438965144,0.0017017121193930508,0.0034014903008937835
extended,gpt2,EleutherAI-pythia-160m,gratitude,5,5,0.0015146745834499597,0.0003478349955046603,0.001203362550586462,0.0017947013105731454
extended,gpt2,EleutherAI-pythia-160m,gratitude,10,5,0.001316062081605196,9.519937271647566e-05,0.0012476633564801887,0.0013896713266149164
extended,gpt2,EleutherAI-pythia-160m,gratitude,20,5,0.0013012343551963568,9.808874391841709e-05,0.0012228964472888037,0.0013682028511539102
