profile,model_a,model_b,layer,emotion,k,overlap,mean_principal_angle
extended,gpt2,EleutherAI-pythia-160m,3,gratitude,2,0.003924454562366009,1.5012294054031372
extended,gpt2,EleutherAI-pythia-160m,3,gratitude,5,0.0019547634292393923,1.4949430227279663
extended,gpt2,EleutherAI-pythia-160m,3,gratitude,10,0.001359489280730486,1.478941559791565
extended,gpt2,EleutherAI-pythia-160m,3,gratitude,20,0.0012878191191703081,1.4381930828094482
extended,gpt2,EleutherAI-pythia-160m,3,anger,2,0.003431942779570818,1.497370719909668
extended,gpt2,EleutherAI-pythia-160m,3,anger,5,0.002458608942106366,1.4829155206680298
extended,gpt2,EleutherAI-pythia-160m,3,anger,10,0.0015736978966742754,1.4687246084213257
extended,gpt2,EleutherAI-pythia-160m,3,anger,20,0.001496779965236783,1.4222195148468018
extended,gpt2,EleutherAI-pythia-160m,3,apology,2,0.006583415903151035,1.4864060878753662
extended,gpt2,EleutherAI-pythia-160m,3,apology,5,0.0025976956821978092,1.4859144687652588
extended,gpt2,EleutherAI-pythia-160m,3,apology,10,0.0014432556927204132,1.471571683883667
extended,gpt2,EleutherAI-pythia-160m,3,apology,20,0.0012820650590583682,1.4371793270111084
extended,gpt2,EleutherAI-pythia-160m,5,gratitude,2,0.0030528474599123,1.4948604106903076
extended,gpt2,EleutherAI-pythia-160m,5,gratitude,5,0.0015678186900913715,1.496614933013916
extended,gpt2,EleutherAI-pythia-160m,5,gratitude,10,0.0014532661298289895,1.4630076885223389
extended,gpt2,EleutherAI-pythia-160m,5,gratitude,20,0.0013630163157358766,1.4298133850097656
extended,gpt2,EleutherAI-pythia-160m,5,anger,2,0.0026341774500906467,1.5133390426635742
extended,gpt2,EleutherAI-pythia-160m,5,anger,5,0.0013283782172948122,1.503034234046936
extended,gpt2,EleutherAI-pythia-160m,5,anger,10,0.001288485829718411,1.4724191427230835
extended,gpt2,EleutherAI-pythia-160m,5,anger,20,0.0012989103561267257,1.4354074001312256
extended,gpt2,EleutherAI-pythia-160m,5,apology,2,0.00298329652287066,1.5141962766647339
extended,gpt2,EleutherAI-pythia-160m,5,apology,5,0.0019979134667664766,1.4876207113265991
extended,gpt2,EleutherAI-pythia-160m,5,apology,10,0.0015377947129309177,1.4614988565444946
extended,gpt2,EleutherAI-pythia-160m,5,apology,20,0.0013533212477341294,1.4294637441635132
extended,gpt2,EleutherAI-pythia-160m,7,gratitude,2,0.002510408405214548,1.513645052909851
extended,gpt2,EleutherAI-pythia-160m,7,gratitude,5,0.0015788876917213202,1.4977660179138184
extended,gpt2,EleutherAI-pythia-160m,7,gratitude,10,0.0012016384862363338,1.4738765954971313
extended,gpt2,EleutherAI-pythia-160m,7,gratitude,20,0.0011548789916560054,1.440068006515503
extended,gpt2,EleutherAI-pythia-160m,7,anger,2,0.003532980103045702,1.4909789562225342
extended,gpt2,EleutherAI-pythia-160m,7,anger,5,0.0011768273543566465,1.5128892660140991
extended,gpt2,EleutherAI-pythia-160m,7,anger,10,0.0011940512340515852,1.4819890260696411
extended,gpt2,EleutherAI-pythia-160m,7,anger,20,0.0013363596517592669,1.4310739040374756
extended,gpt2,EleutherAI-pythia-160m,7,apology,2,0.002325632143765688,1.5160704851150513
extended,gpt2,EleutherAI-pythia-160m,7,apology,5,0.001784425345249474,1.4911983013153076
extended,gpt2,EleutherAI-pythia-160m,7,apology,10,0.0011174373794347048,1.4797803163528442
extended,gpt2,EleutherAI-pythia-160m,7,apology,20,0.0012763170525431633,1.434086561203003
extended,gpt2,EleutherAI-pythia-160m,9,gratitude,2,0.002180391689762473,1.5094866752624512
extended,gpt2,EleutherAI-pythia-160m,9,gratitude,5,0.0014888921286910772,1.4952977895736694
extended,gpt2,EleutherAI-pythia-160m,9,gratitude,10,0.0012942791217938066,1.4782425165176392
extended,gpt2,EleutherAI-pythia-160m,9,gratitude,20,0.00128593307454139,1.4346479177474976
extended,gpt2,EleutherAI-pythia-160m,9,anger,2,0.002588327042758465,1.500134825706482
extended,gpt2,EleutherAI-pythia-160m,9,anger,5,0.001303602708503604,1.501551866531372
extended,gpt2,EleutherAI-pythia-160m,9,anger,10,0.0010363649344071746,1.4797742366790771
extended,gpt2,EleutherAI-pythia-160m,9,anger,20,0.0012685027904808521,1.4357712268829346
extended,gpt2,EleutherAI-pythia-160m,9,apology,2,0.0026665437035262585,1.5164721012115479
extended,gpt2,EleutherAI-pythia-160m,9,apology,5,0.0015037923585623503,1.4999306201934814
extended,gpt2,EleutherAI-pythia-160m,9,apology,10,0.001479411032050848,1.466720461845398
extended,gpt2,EleutherAI-pythia-160m,9,apology,20,0.0013212591875344515,1.432780385017395
extended,gpt2,EleutherAI-pythia-160m,11,gratitude,2,0.000981768243946135,1.5320756435394287
extended,gpt2,EleutherAI-pythia-160m,11,gratitude,5,0.0009830109775066376,1.5113388299942017
extended,gpt2,EleutherAI-pythia-160m,11,gratitude,10,0.0012716373894363642,1.4732248783111572
extended,gpt2,EleutherAI-pythia-160m,11,gratitude,20,0.0014145242748782039,1.4265217781066895
extended,gpt2,EleutherAI-pythia-160m,11,anger,2,0.0017097836825996637,1.5136187076568604
extended,gpt2,EleutherAI-pythia-160m,11,anger,5,0.0015239563072100282,1.4997332096099854
