profile,phase,model_name,emotion,layer,head,head_spec,alpha,comparison,metric_name,paired,n_baseline,n_patched,n_effective,mean_baseline,mean_patched,std_baseline,std_patched,mean_diff,cohen_d,ci_lower,ci_upper,effect_size_ci_lower,effect_size_ci_upper,t_statistic,p_value,p_value_bonferroni,p_value_fdr,significant_bonferroni,significant_fdr
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.admiration,True,8,8,8,0.012787301478965674,0.011874605597768095,0.019737219288674793,0.020974570075553926,-0.0009126958811975783,-0.2197974335952266,-0.003820051211414466,0.0018296287184512007,-1.0699916436750774,0.4867623269879037,-0.6216810231303385,0.553850932795326,1.0,0.553850932795326,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.amusement,True,8,8,8,0.0006914581690580235,0.0005118598246554029,0.0008854438964544585,0.00038438362899687983,-0.00017959834440262057,-0.33427143836347806,-0.0005774905762336857,5.206719997659083e-05,-0.8641799377067886,0.554503444066484,-0.9454624032951856,0.375906165534509,1.0,0.45980345613865004,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.anger,True,8,8,8,0.00040916190164352884,0.0004087933748451178,0.00028028505196578125,0.0002963959133848879,-3.6852679841103964e-07,-0.002063660958286816,-0.00012190147574528965,0.00011152299948662395,-0.6821073889416194,1.1259642764915079,-0.005836914630698147,0.9955057047013336,1.0,0.9955057047013336,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.annoyance,True,8,8,8,0.001928338264406193,0.002074902491585817,0.0010748477826982223,0.0016054715045784177,0.00014656422717962414,0.13743194203200623,-0.0005102629475004505,0.0008983922156403421,-0.8102140989039315,0.8435361961516341,0.3887162326498725,0.7090388796617874,1.0,0.7090388796617874,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.approval,True,8,8,8,0.46373256473452784,0.4514957382052671,0.4131610945794681,0.4449221943699688,-0.012236826529260725,-0.08713725553387895,-0.1068354828748852,0.07643722086941106,-0.8373604140980048,0.768589171871375,-0.24646137712796326,0.8123964007191148,1.0,0.8123964007191148,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.caring,True,8,8,8,0.005264307302240923,0.003321771721857658,0.012513871690237063,0.0068380547840413645,-0.0019425355803832645,-0.3376162552343558,-0.006136120110386401,0.0004154024580657278,-0.7565341764785887,0.622818595192482,-0.9549229740600848,0.37142230280160005,1.0,0.47754296074491437,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.confusion,True,8,8,8,0.0354616830481973,0.088152796639406,0.07167796062849481,0.19368789501341604,0.052691113591208705,0.4286591764662324,-8.036514791456283e-05,0.1403819160967032,-0.5531027437062809,0.7989088321363264,1.2124312419884555,0.2646747157623013,1.0,0.3402960631229588,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.curiosity,True,8,8,8,0.09016017074554838,0.08536319994891528,0.18810322006017616,0.17695266545673333,-0.004796970796633104,-0.42284064861664367,-0.012930790323957808,5.177978214305747e-05,-0.8633032546231018,0.2572649993462272,-1.1959739599925878,0.27064213401106435,1.0,0.5251281180681203,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.desire,True,8,8,8,0.0006491475460279617,0.0005011181096961081,0.00034529231696486524,0.0002957531378494073,-0.0001480294363318535,-0.46444286171022947,-0.0003379614026925992,4.7657409561452245e-05,-1.341666685538634,0.1789819707314938,-1.3136427879559567,0.23038102239044814,1.0,0.2591786501892542,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.disappointment,True,8,8,8,0.0005324597768776584,0.000525342999935674,0.0002753691811586427,0.00032131986862217644,-7.116776941984426e-06,-0.024641568879420865,-0.00017458477304899134,0.0002067674832687771,-1.0331469017642345,0.6408979610960024,-0.06969688181485555,0.9463841959344264,1.0,0.9463841959344264,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.disapproval,True,8,8,8,0.0017230225457751658,0.0016795673509477638,0.0015636357747381149,0.0014629041167884883,-4.345519482740201e-05,-0.05636625710866049,-0.0005175302663701587,0.0004660852949200488,-1.0944971196037658,0.5886158005195307,-0.1594278505265531,0.877834372599772,1.0,0.877834372599772,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.disgust,True,8,8,8,0.00027731171758205164,0.00027632129422272556,0.00012055183924044796,0.00014261373720904564,-9.90423359326087e-07,-0.013413492610802958,-4.94088370942336e-05,4.3802117943414473e-05,-0.7140506750825764,1.0461541141776596,-0.03793908633797768,0.9707955588207946,1.0,0.9707955588207946,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.embarrassment,True,8,8,8,0.0001438751259001947,0.00015067887159148086,0.00012404635574535385,0.0001188384890309736,6.803745691286167e-06,0.06925671721811191,-5.464639351657752e-05,7.371150271637814e-05,-0.7207541023585827,0.7155054812826155,0.19588757755058422,0.8502633287545284,1.0,0.9565462448488444,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.excitement,True,8,8,8,0.0015852488340897253,0.001295353717978287,0.0014544399882726764,0.0014248255053356058,-0.00028989511611143826,-0.23334489961028262,-0.0011002527796563299,0.00042007065803773,-0.8231888995195042,0.8064557114979714,-0.6599990434789,0.5303636798373288,1.0,0.5303636798373288,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.fear,True,8,8,8,0.00024632988061057404,0.000236520643284166,0.0001642476429930197,0.00015654562681051133,-9.809237326408038e-06,-0.10870258257177393,-6.890926450751068e-05,5.3206590791887686e-05,-0.9914791077991825,0.6888684970899888,-0.30745733307596784,0.7674410181205114,1.0,0.8328475194090638,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.gratitude,True,8,8,8,0.0015225790230033454,0.0008941384321587975,0.0017191184952636649,0.0007963272912084165,-0.0006284405908445478,-0.6064440312059574,-0.0013506289706128882,-3.860958352106543e-05,-1.1908161965696427,-0.16581623489002237,-1.715282747503355,0.13000657267258395,1.0,0.23401183081065108,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.grief,True,8,8,8,0.00013200941361901641,0.00010487482745702437,0.0001625793053544146,9.648280410974646e-05,-2.7134586161992047e-05,-0.3994549608316763,-7.634106218574743e-05,2.131489304701971e-06,-1.0157125278278694,0.22405491813941228,-1.1298292463307402,0.2957715628610122,1.0,0.3108220147972976,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.joy,True,8,8,8,0.023898193373497634,0.007068474421885185,0.06495364586830611,0.015943903024034006,-0.01682971895161245,-0.34254674060708384,-0.05173616282716011,0.001083419186215906,-0.7252664503932222,0.9450316190835317,-0.9688684926264732,0.36488711507473365,1.0,0.36488711507473365,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.love,True,8,8,8,0.0011642337158264127,0.0009996101534852642,0.0016650823067403397,0.0014015429316819581,-0.0001646235623411485,-0.3692571987255591,-0.00044808955665303073,0.00010947330156341195,-1.116630466765983,0.5317879477594577,-1.0444170768831658,0.33101246857143324,1.0,0.3954723742172702,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.nervousness,True,8,8,8,0.00018266111976572574,0.0001552427837623327,0.00020615077972123053,0.0001313903969878932,-2.741833600339305e-05,-0.265207710922741,-9.972264456337143e-05,3.2618861320088364e-05,-0.8537958985088556,0.7763298649460266,-0.7501206832657271,0.47763170149275935,1.0,0.47763170149275935,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.neutral,True,8,8,8,0.34262996003963053,0.33220308111049235,0.3379809357774738,0.3696684598540064,-0.010426878929138184,-0.05989923546051977,-0.13110631685703994,0.0972321313340216,-0.7901351906323152,0.7124692165487518,-0.16942062232809296,0.8702578715966048,1.0,0.8702578715966048,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.optimism,True,8,8,8,0.004807472807442537,0.003813396648183698,0.0038727123917282904,0.005149900290394103,-0.0009940761592588387,-0.4343541858681966,-0.0023463123174224166,0.0005421294272309749,-1.9658736292334016,0.1991688138550283,-1.2285391610566556,0.25894186873274944,1.0,0.466095363718949,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.pride,True,8,8,8,0.0006603417848509707,0.00047687496237358573,0.0009801477187242763,0.0006301463155002276,-0.000183466822477385,-0.5020018001804416,-0.0004485221675651019,-1.4028488467943145e-05,-1.0462385257873639,-0.3592732619567264,-1.419875508301778,0.19861034497902777,1.0,0.29791551746854167,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.realization,True,8,8,8,0.005396532538725296,0.003840954974293709,0.003027058992240171,0.0019030558204364697,-0.0015555775644315872,-0.7169098717522219,-0.002960276409430662,-0.0002592311298940339,-1.5271604519133968,-0.1897971230524046,-2.027727327262297,0.08218792751231849,0.7396913476108664,0.1479382695221733,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.relief,True,8,8,8,0.002632184592471276,0.0014337433741502537,0.006000879180407587,0.0026336505556938416,-0.0011984412183210225,-0.3521910401773099,-0.0036210606552231185,0.00013735651432398278,-0.7597559481335,0.5371026985709889,-0.9961466911300787,0.35235920505122054,1.0,0.5285388075768308,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.remorse,True,8,8,8,0.00015028632276425924,0.00012696901990238985,0.00013442947411750815,9.513497909405464e-05,-2.3317302861869393e-05,-0.4569776734329874,-5.963399523238877e-05,1.8248574633616908e-06,-0.9434003572509018,0.7915376060942836,-1.292528046941268,0.23720098729713068,1.0,0.4103052706777275,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.sadness,True,8,8,8,0.0003910125169568346,0.0003589700363590964,0.00046378089073952035,0.0003311561177132914,-3.2042480597738177e-05,-0.20876192432227866,-0.000141796000116301,4.2863697626671627e-05,-0.7331478164566859,0.8312803192156745,-0.5904678893673444,0.5734376389244165,1.0,0.6451173437899685,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,goemotions.surprise,True,8,8,8,0.0008401477928146051,0.0006551119784035109,0.001372968211459294,0.0008400122774065901,-0.00018503581441109418,-0.2407873637917474,-0.0007499390599036814,0.00024814996959321434,-0.9870419622414859,0.5522059171527348,-0.6810495110447069,0.5177279857703592,1.0,0.5943278773352318,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,politeness.NEUTRAL,True,8,8,8,0.9913842007517815,0.9092941507697105,0.02197492701198691,0.2537478198415733,-0.08209004998207092,-0.31893604245392576,-0.26906573344022033,0.023096829652786255,-0.7378801186898405,0.69634603519923,-0.902087353535886,0.39698731067408805,1.0,0.39698731067408805,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,politeness.NOT_POLITE,True,8,8,8,0.0003082569583057193,0.0009117293848248664,0.00018476471735516366,0.0018421537772841856,0.0006034724265191471,0.3344538085938399,-0.00014279462056947522,0.0019192286506495293,-0.5508034838382672,1.4328654778728795,0.9459782242014874,0.3756606389338532,1.0,0.3756606389338532,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,politeness.POLITE,True,8,8,8,0.00019136272931064013,0.0006176771939863102,0.00012631626953415884,0.0013359659446095795,0.00042631446467567,0.31938382261317233,-0.00012351575696811778,0.0013976905842127962,-0.660961339036847,0.7282954506501981,0.9033538670842222,0.3963595582742174,1.0,0.3963595582742174,False,False
baseline,residual,gpt2_small,gratitude,0.0,,,0.8,patched_vs_neutral,politeness.SOMEWHAT_POLITE,True,8,8,8,0.008116191555018304,0.08917644847679185,0.02168555220287502,0.25057080139809224,0.08106025692177354,0.3188225168747988,-0.02259788932014999,0.2657478863434335,-0.7110687621598268,0.7259008203277448,0.9017662547085308,0.39714658131554,1.0,0.4408478978253617,False,False
baseline,residual,gpt2_small,gratitude,3.0,,,0.8,patched_vs_neutral,goemotions.admiration,True,8,8,8,0.012787301478965674,0.002295064730787999,0.019737219288674793,0.003172926240927998,-0.010492236748177675,-0.6260384668896932,-0.022623856964764856,-0.0013273390567974342,-1.2120501487148803,-0.4091646312307763,-1.770704180885328,0.11991294116709433,1.0,0.18648027653865532,False,False
