profile,phase,model_name,emotion,layer,head,head_spec,alpha,comparison,metric_name,paired,n_baseline,n_patched,n_effective,mean_baseline,mean_patched,std_baseline,std_patched,mean_diff,cohen_d,ci_lower,ci_upper,effect_size_ci_lower,effect_size_ci_upper,t_statistic,p_value,p_value_bonferroni,p_value_fdr,significant_bonferroni,significant_fdr,power
baseline,residual,llama3_8b,gratitude,0.0,,,1.0,patched_vs_neutral,goemotions.admiration,True,225,225,225,0.05183734038773562,0.04392231305336786,0.17814661556530073,0.156252008029313,-0.007915027334367752,-0.07568186403340463,-0.022128790234471025,0.004306337003149864,-0.16236481196242522,0.06884127969154127,-1.1352279605010693,0.2574930596518837,1.0,0.29710737652140423,False,False,0.20438234558446683
baseline,residual,llama3_8b,gratitude,0.0,,,1.0,patched_vs_neutral,goemotions.amusement,True,225,225,225,0.0008131080725838223,0.0007728155273879464,0.0011774548828802519,0.0011324332734110084,-4.02925451958759e-05,-0.10561293170881446,-9.031314046135068e-05,1.0564339941386902e-05,-0.21813894998848155,0.021660124564068628,-1.5841939756322165,0.11456034948684507,1.0,0.3461753691318918,False,False,0.35122473539523025
baseline,residual,llama3_8b,gratitude,0.0,,,1.0,patched_vs_neutral,goemotions.anger,True,225,225,225,0.0004917207049180029,0.0005029161985375039,0.00036101762512219944,0.0003731603898307923,1.119549361950097e-05,0.1290648955190236,-2.0927613917996899e-07,2.4016353484815524e-05,0.006875770126903537,0.22726542927131968,1.9359734327853542,0.05412932149330776,0.8119398223996164,0.2029849555999041,False,False,0.48716955375662874
baseline,residual,llama3_8b,gratitude,0.0,,,1.0,patched_vs_neutral,goemotions.annoyance,True,225,225,225,0.002956078709361868,0.0033295358744605133,0.005740969389973565,0.006972093500059748,0.00037345716509864564,0.13077667182077887,5.662851688005806e-05,0.0007971807627376009,0.0675254799827241,0.18842369721772792,1.9616500773116836,0.05104192462394407,0.7656288693591611,0.1531257738718322,False,False,0.49736170455779044
baseline,residual,llama3_8b,gratitude,0.0,,,1.0,patched_vs_neutral,goemotions.approval,True,225,225,225,0.14604575032730482,0.15470766335518824,0.2570764243577612,0.26430301098869247,0.008661913027883404,0.09625758709644086,-0.002424364482026754,0.020877326519927006,-0.029951413688901543,0.21135731879812536,1.4438638064466127,0.150174440506025,1.0,0.173278200583875,False,False,0.3010746443151506
baseline,residual,llama3_8b,gratitude,0.0,,,1.0,patched_vs_neutral,goemotions.caring,True,225,225,225,0.0138180558407718,0.014204048734973185,0.07550943675645864,0.07548223583479004,0.00038599289420138426,0.2103356872245874,0.0001708884506369941,0.0006475353172297925,0.11334495486726708,0.3016760400451096,3.155035308368811,0.0018249419068973943,0.027374128603460914,0.010773774665478901,True,True,0.8813012604370339
baseline,residual,llama3_8b,gratitude,0.0,,,1.0,patched_vs_neutral,goemotions.confusion,True,225,225,225,0.1497675168291769,0.15715502645205964,0.2955994621631248,0.30363654281212765,0.0073875096228827415,0.07943574532277457,-0.004009096190545178,0.020172647749400405,-0.0557171333923076,0.1900417190876065,1.1915361798416186,0.23470409671536877,1.0,0.4400701813413164,False,False,0.2204300596532807
baseline,residual,llama3_8b,gratitude,0.0,,,1.0,patched_vs_neutral,goemotions.curiosity,True,225,225,225,0.1157586984570177,0.1019516702010555,0.23916333858151162,0.22099811668284228,-0.013807028255962198,-0.2129554240975653,-0.02269463914534653,-0.006398675257690937,-0.2743532065412418,-0.16221979699087155,-3.1943313614634796,0.0016032517221994521,0.02404877583299178,0.008162275114107474,True,True,0.888889414569567
baseline,residual,llama3_8b,gratitude,0.0,,,1.0,patched_vs_neutral,goemotions.desire,True,225,225,225,0.0052491832898845635,0.004746593864094596,0.01377444021500785,0.013668112219221876,-0.0005025894257899684,-0.18585202721507332,-0.000865934448053142,-0.0001744830821585816,-0.2567202341178978,-0.095163375996137,-2.7877804082260997,0.005763005805417898,0.08644508708126847,0.03966138057895497,False,True,0.7927067856761262
baseline,residual,llama3_8b,gratitude,0.0,,,1.0,patched_vs_neutral,goemotions.disappointment,True,225,225,225,0.0019861551833390777,0.0021448643809869987,0.0035848761212499123,0.004147729715822729,0.00015870919764792132,0.12029759050701977,1.9423521007411217e-07,0.0003379374607935056,0.014314671433122138,0.19716217334594288,1.8044638576052967,0.07250176813683692,1.0,0.18637154097695238,False,False,0.43525171954834063
baseline,residual,llama3_8b,gratitude,0.0,,,1.0,patched_vs_neutral,goemotions.disapproval,True,225,225,225,0.00634561000847801,0.006675210833232591,0.025954236166026778,0.025864673171087524,0.0003296008247545817,0.0761999286073352,-0.00015745651016509834,0.0009373124081272786,-0.08261772445303481,0.16525478357658435,1.1429989291100278,0.25425918066800257,1.0,0.544841101431434,False,False,0.20655173699801493
baseline,residual,llama3_8b,gratitude,0.0,,,1.0,patched_vs_neutral,goemotions.disgust,True,225,225,225,0.0004134478374423149,0.0004186631666056605,0.0005058371677524101,0.0005196702859200535,5.215329163345611e-06,0.05058195183687296,-7.623867719505344e-06,1.9089986370494844e-05,-0.09590179599678793,0.1499743493700192,0.7587292775530945,0.4488121229270081,1.0,0.6161288708374376,False,False,0.11751070357073787
baseline,residual,llama3_8b,gratitude,0.0,,,1.0,patched_vs_neutral,goemotions.embarrassment,True,225,225,225,0.00033340610839837205,0.00032202351062248153,0.0005288678861331828,0.0004740646599252091,-1.1382597775890543e-05,-0.08745794055527728,-2.910381969205547e-05,4.68279292635997e-06,-0.18241853799579624,0.04856337292852151,-1.3118691083291594,0.1909071719248024,1.0,0.3297775994900919,False,False,0.25719228605448463
baseline,residual,llama3_8b,gratitude,0.0,,,1.0,patched_vs_neutral,goemotions.excitement,True,225,225,225,0.01706026625111311,0.012460180295715367,0.07074942631783408,0.06506796363901884,-0.004600085955397743,-0.20489344318308,-0.007810526725175603,-0.002036136247720505,-0.26067263987942346,-0.15060712649532934,-3.0734016477462,0.00237885542930762,0.0356828314396143,0.0356828314396143,True,True,0.8643852978457478
